"filename", "language", "TypeScript", "Vue", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/about/BaseIconStructur.md", "Markdown", 0, 0, 51, 0, 3, 54
"/Users/peaker/dev/solar-finance/src/components/navigation/AppTopHeader.vue", "Vue", 0, 176, 0, 1, 17, 194
"/Users/peaker/dev/solar-finance/src/components/ui/icons/AccountIcon.vue", "Vue", 0, -107, 0, -3, -14, -124
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseDropdownArrow.vue", "Vue", 0, 37, 0, 1, 1, 39
"/Users/peaker/dev/solar-finance/src/components/ui/icons/DropdownArrow.vue", "Vue", 0, -33, 0, -1, -1, -35
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ParentCategorySelector.vue", "Vue", 0, 3, 0, 0, -2, 1
"/Users/peaker/dev/solar-finance/src/data/categories.ts", "TypeScript", -110, 0, 0, -11, -26, -147
"/Users/peaker/dev/solar-finance/src/layouts/IosLayout.vue", "Vue", 0, 73, 0, 0, 10, 83
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 11, 0, 0, 0, 0, 11
"/Users/peaker/dev/solar-finance/src/services/system/AppInitService.ts", "TypeScript", 4, 0, 0, 3, 2, 9
"/Users/peaker/dev/solar-finance/src/stores/system/composables/useApp.ts", "TypeScript", 37, 0, 0, 21, 9, 67
"/Users/peaker/dev/solar-finance/src/stores/system/composables/usePlatform.ts", "TypeScript", 45, 0, 0, 17, 11, 73
"/Users/peaker/dev/solar-finance/src/stores/system/composables/useViewport.ts", "TypeScript", 56, 0, 0, 27, 17, 100
"/Users/peaker/dev/solar-finance/src/stores/system/index.ts", "TypeScript", 1, 0, 0, 1, 1, 3
"/Users/peaker/dev/solar-finance/src/stores/system/systemStore.ts", "TypeScript", 155, 0, 0, 62, 33, 250
"/Users/peaker/dev/solar-finance/src/stores/system/types.ts", "TypeScript", -13, 0, 0, -4, -1, -18
"/Users/peaker/dev/solar-finance/src/utils/debounce.ts", "TypeScript", 16, 0, 0, 9, 4, 29
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountIcon.vue", "Vue", 0, 107, 0, 3, 14, 124
"/Users/peaker/dev/solar-finance/src/views/transaction/TransactionView.vue", "Vue", 0, 19, 0, 0, 6, 25
"Total", "-", 202, 275, 51, 126, 84, 738
