"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/App.vue", "Vue", 0, 19, 0, 1, 20
"/Users/peaker/dev/solar-finance/src/data/UserData.ts", "TypeScript", -30, 0, -4, -3, -37
"/Users/peaker/dev/solar-finance/src/layouts/ConsoleLayout.vue", "Vue", 0, -281, -10, -38, -329
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", -1, 0, 0, 1, 0
"/Users/peaker/dev/solar-finance/src/services/finance/FinanceService.ts", "TypeScript", -158, 0, -64, -38, -260
"/Users/peaker/dev/solar-finance/src/services/transaction/TransactionService.ts", "TypeScript", -191, 0, -53, -31, -275
"/Users/peaker/dev/solar-finance/src/stores/theme.ts", "TypeScript", 23, 0, 4, 3, 30
"/Users/peaker/dev/solar-finance/src/stores/user.ts", "TypeScript", -157, 0, -22, -43, -222
"/Users/peaker/dev/solar-finance/src/stores/user/defaultUsers.ts", "TypeScript", 33, 0, 6, 1, 40
"/Users/peaker/dev/solar-finance/src/stores/user/index.ts", "TypeScript", 1, 0, 1, 0, 2
"/Users/peaker/dev/solar-finance/src/stores/user/types.ts", "TypeScript", -2, 0, 0, -1, -3
"/Users/peaker/dev/solar-finance/src/stores/user/userService.ts", "TypeScript", 13, 0, 12, 6, 31
"/Users/peaker/dev/solar-finance/src/stores/user/userStore.ts", "TypeScript", 39, 0, 11, 9, 59
"/Users/peaker/dev/solar-finance/src/views/MoreView.vue", "Vue", 0, 30, 1, 1, 32
"/Users/peaker/dev/solar-finance/src/views/PinLoginView.vue", "Vue", 0, -9, 0, -2, -11
"Total", "-", -430, -241, -118, -134, -923
