"filename", "language", "TypeScript", "Vue", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/BaseStores.md", "Markdown", 0, 0, 552, 0, 153, 705
"/Users/peaker/dev/solar-finance/src/about/main.md", "Markdown", 0, 0, 27, 0, 0, 27
"/Users/peaker/dev/solar-finance/src/components/NavigationMenu.vue", "Vue", 0, -58, 0, -1, -7, -66
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryAddPopup.vue", "Vue", 0, 1, 0, 0, 1, 2
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryListGrouped.vue", "Vue", 0, 1, 0, 0, 1, 2
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryListPopup.vue", "Vue", 0, -5, 0, 1, 3, -1
"/Users/peaker/dev/solar-finance/src/components/categories/CategorySelector.vue", "Vue", 0, -12, 0, 0, -2, -14
"/Users/peaker/dev/solar-finance/src/components/navigation/NavMenu.vue", "Vue", 0, 8, 0, 0, -5, 3
"/Users/peaker/dev/solar-finance/src/data/categories.ts", "TypeScript", -252, 0, 0, -34, -13, -299
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 15, 0, 0, 1, 0, 16
"/Users/peaker/dev/solar-finance/src/stores/category/categoryService.ts", "TypeScript", 205, 0, 0, 59, 51, 315
"/Users/peaker/dev/solar-finance/src/stores/category/categoryStore.ts", "TypeScript", 121, 0, 0, 14, 37, 172
"/Users/peaker/dev/solar-finance/src/stores/category/defaultCategories.ts", "TypeScript", 218, 0, 0, 13, 10, 241
"/Users/peaker/dev/solar-finance/src/stores/category/index.ts", "TypeScript", 31, 0, 0, 7, 7, 45
"/Users/peaker/dev/solar-finance/src/stores/category/types.ts", "TypeScript", 41, 0, 0, 7, 7, 55
"/Users/peaker/dev/solar-finance/src/stores/common/types.ts", "TypeScript", 9, 0, 0, 1, 1, 11
"/Users/peaker/dev/solar-finance/src/stores/user/index.ts", "TypeScript", 3, 0, 0, 1, 1, 5
"/Users/peaker/dev/solar-finance/src/stores/user/types.ts", "TypeScript", 17, 0, 0, 2, 3, 22
"/Users/peaker/dev/solar-finance/src/stores/user/userService.ts", "TypeScript", 97, 0, 0, 31, 14, 142
"/Users/peaker/dev/solar-finance/src/stores/user/userStore.ts", "TypeScript", 77, 0, 0, 28, 21, 126
"/Users/peaker/dev/solar-finance/src/views/MoreView.vue", "Vue", 0, 199, 0, 6, 31, 236
"/Users/peaker/dev/solar-finance/src/views/TransactionView.vue", "Vue", 0, -23, 0, 0, 0, -23
"Total", "-", 582, 111, 579, 136, 314, 1722
