"filename", "language", "Vue", "TypeScript", "JavaScript", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/ui/filters/DateFilter.vue", "Vue", 503, 0, 0, 0, 0, 14, 73, 590
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseAddIcon.vue", "Vue", 90, 0, 0, 0, 0, 1, 13, 104
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseDropdownArrow.vue", "Vue", 37, 0, 0, 0, 0, 1, 1, 39
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseIcon.vue", "Vue", 297, 0, 0, 0, 0, 1, 49, 347
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ColorPicker.vue", "Vue", 68, 0, 0, 0, 0, 2, 13, 83
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/IconPicker.vue", "Vue", 66, 0, 0, 0, 0, 1, 9, 76
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ParentCategorySelector.vue", "Vue", 131, 0, 0, 0, 0, 1, 16, 148
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/SharePicker.vue", "Vue", 171, 0, 0, 0, 0, 1, 28, 200
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/TextInput.vue", "Vue", 60, 0, 0, 0, 0, 1, 8, 69
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ToggleButtonGroup.vue", "Vue", 68, 0, 0, 0, 0, 1, 8, 77
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ToggleSwitch.vue", "Vue", 80, 0, 0, 0, 0, 1, 8, 89
"/Users/peaker/dev/solar-finance/src/components/ui/lists/ListItemWithToggle.vue", "Vue", 149, 0, 0, 0, 0, 6, 20, 175
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BaseAccountSelector.vue", "Vue", 244, 0, 0, 0, 0, 11, 21, 276
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BaseTransactionSelector.vue", "Vue", 388, 0, 0, 0, 0, 5, 72, 465
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BookSelector.vue", "Vue", 211, 0, 0, 0, 0, 4, 30, 245
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BooksFilter.vue", "Vue", 241, 0, 0, 0, 0, 3, 40, 284
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/CurrencySelector.vue", "Vue", 69, 0, 0, 0, 0, 1, 11, 81
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/UniversalSelector.vue", "Vue", 144, 0, 0, 0, 0, 3, 15, 162
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseBookHeader.vue", "Vue", 58, 0, 0, 0, 0, 1, 8, 67
"/Users/peaker/dev/solar-finance/src/components/ui/views/BasePercentageSlider.vue", "Vue", 245, 0, 0, 0, 0, 4, 31, 280
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionGroup.vue", "Vue", 187, 0, 0, 0, 0, 4, 28, 219
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionItem.vue", "Vue", 487, 0, 0, 0, 0, 10, 62, 559
"/Users/peaker/dev/solar-finance/src/composables/transaction/useFormatBalance.ts", "TypeScript", 0, 126, 0, 0, 0, 42, 25, 193
"/Users/peaker/dev/solar-finance/src/composables/ui/useClickOutside.ts", "TypeScript", 0, 24, 0, 0, 0, 6, 6, 36
"/Users/peaker/dev/solar-finance/src/composables/ui/useDropdown.ts", "TypeScript", 0, 38, 0, 0, 0, 4, 9, 51
"/Users/peaker/dev/solar-finance/src/composables/ui/useGridLayout.ts", "TypeScript", 0, 106, 0, 0, 0, 23, 25, 154
"/Users/peaker/dev/solar-finance/src/composables/ui/useGridLayoutTypes.ts", "TypeScript", 0, 34, 0, 0, 0, 1, 6, 41
