Date : 2025-04-16 20:07:03
Directory : /Users/peaker/dev/solar-finance/src
Total : 97 files,  13843 codes, 1057 comments, 2117 blanks, all 17017 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         41 |      6,993 |        140 |        927 |      8,060 |
| TypeScript |         51 |      4,196 |        917 |        770 |      5,883 |
| Markdown   |          5 |      2,654 |          0 |        420 |      3,074 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         97 |     13,843 |      1,057 |      2,117 |     17,017 |
| . (Files)                                                                                            |          2 |        131 |          9 |         21 |        161 |
| about                                                                                                |          5 |      2,654 |          0 |        420 |      3,074 |
| about (Files)                                                                                        |          2 |        711 |          0 |        149 |        860 |
| about/WorkFlow                                                                                       |          3 |      1,943 |          0 |        271 |      2,214 |
| components                                                                                           |         30 |      5,045 |        106 |        697 |      5,848 |
| components/categories                                                                                |         11 |      2,469 |         60 |        371 |      2,900 |
| components/categories (Files)                                                                        |          9 |      2,234 |         55 |        340 |      2,629 |
| components/categories/view                                                                           |          2 |        235 |          5 |         31 |        271 |
| components/currency                                                                                  |          1 |        146 |          0 |         23 |        169 |
| components/navigation                                                                                |          1 |         96 |          1 |          4 |        101 |
| components/transactions                                                                              |          8 |      1,247 |         21 |        164 |      1,432 |
| components/transactions (Files)                                                                      |          6 |        929 |         14 |        119 |      1,062 |
| components/transactions/ViewTransaction                                                              |          2 |        318 |          7 |         45 |        370 |
| components/ui                                                                                        |          9 |      1,087 |         24 |        135 |      1,246 |
| components/ui (Files)                                                                                |          2 |        239 |          7 |         15 |        261 |
| components/ui/filters                                                                                |          1 |        438 |         11 |         62 |        511 |
| components/ui/inputs                                                                                 |          6 |        410 |          6 |         58 |        474 |
| composables                                                                                          |          8 |        920 |        218 |        188 |      1,326 |
| composables (Files)                                                                                  |          1 |        330 |         43 |         64 |        437 |
| composables/transaction                                                                              |          7 |        590 |        175 |        124 |        889 |
| data                                                                                                 |          1 |        110 |         11 |         26 |        147 |
| layouts                                                                                              |          3 |        148 |          4 |         21 |        173 |
| router                                                                                               |          1 |        124 |         15 |         10 |        149 |
| services                                                                                             |          3 |        136 |         53 |         47 |        236 |
| services (Files)                                                                                     |          1 |         54 |         22 |         11 |         87 |
| services/api                                                                                         |          2 |         82 |         31 |         36 |        149 |
| stores                                                                                               |         36 |      2,878 |        611 |        489 |      3,978 |
| stores (Files)                                                                                       |          1 |         71 |         10 |         10 |         91 |
| stores/account                                                                                       |          5 |        583 |        139 |        101 |        823 |
| stores/book                                                                                          |          5 |        268 |         64 |         42 |        374 |
| stores/category                                                                                      |          5 |        671 |        104 |        120 |        895 |
| stores/common                                                                                        |          1 |          9 |          1 |          1 |         11 |
| stores/currency                                                                                      |          5 |        360 |         60 |         69 |        489 |
| stores/system                                                                                        |          4 |        118 |         54 |         21 |        193 |
| stores/transaction                                                                                   |          5 |        501 |         81 |         62 |        644 |
| stores/user                                                                                          |          5 |        297 |         98 |         63 |        458 |
| types                                                                                                |          1 |          5 |          0 |          0 |          5 |
| views                                                                                                |          7 |      1,692 |         30 |        198 |      1,920 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/peaker/dev/solar-finance/src/App.vue                                                          | Vue        |        108 |          0 |         11 |        119 |
| /Users/peaker/dev/solar-finance/src/about/Description.md                                             | Markdown   |         58 |          0 |         28 |         86 |
| /Users/peaker/dev/solar-finance/src/about/WorkFlow/BaseStores.md                                     | Markdown   |        169 |          0 |         52 |        221 |
| /Users/peaker/dev/solar-finance/src/about/WorkFlow/MainPlan.md                                       | Markdown   |        468 |          0 |        151 |        619 |
| /Users/peaker/dev/solar-finance/src/about/WorkFlow/Mock.md                                           | Markdown   |      1,306 |          0 |         68 |      1,374 |
| /Users/peaker/dev/solar-finance/src/about/main.md                                                    | Markdown   |        653 |          0 |        121 |        774 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryAddPopup.vue                       | Vue        |        359 |          9 |         45 |        413 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryEditPopup.vue                      | Vue        |        444 |         10 |         60 |        514 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryFilterToggle.vue                   | Vue        |         59 |          1 |         10 |         70 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryIcon.vue                           | Vue        |         83 |          1 |         14 |         98 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryItem.vue                           | Vue        |        109 |          1 |         16 |        126 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryListGrouped.vue                    | Vue        |         96 |          3 |         15 |        114 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryListPopup.vue                      | Vue        |        400 |         13 |         68 |        481 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategorySelector.vue                       | Vue        |        258 |          5 |         35 |        298 |
| /Users/peaker/dev/solar-finance/src/components/categories/CategoryViewPopup.vue                      | Vue        |        426 |         12 |         77 |        515 |
