"filename", "language", "TypeScript", "Markdown", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/services/system/AppInitService.ts", "TypeScript", 56, 0, 0, 25, 12, 93
"/Users/peaker/dev/solar-finance/src/services/system/MessageService.ts", "TypeScript", 54, 0, 0, 33, 11, 98
"/Users/peaker/dev/solar-finance/src/stores/account/accountService.ts", "TypeScript", 90, 0, 0, 27, 13, 130
"/Users/peaker/dev/solar-finance/src/stores/account/accountStore.ts", "TypeScript", 364, 0, 0, 103, 86, 553
"/Users/peaker/dev/solar-finance/src/stores/account/defaultAccounts.ts", "TypeScript", 110, 0, 0, 6, 0, 116
"/Users/peaker/dev/solar-finance/src/stores/account/index.ts", "TypeScript", 4, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/account/types.ts", "TypeScript", 17, 0, 0, 1, 1, 19
"/Users/peaker/dev/solar-finance/src/stores/book/bookService.ts", "TypeScript", 77, 0, 0, 24, 12, 113
"/Users/peaker/dev/solar-finance/src/stores/book/bookStore.ts", "TypeScript", 129, 0, 0, 32, 26, 187
"/Users/peaker/dev/solar-finance/src/stores/book/defaultBooks.ts", "TypeScript", 40, 0, 0, 5, 1, 46
"/Users/peaker/dev/solar-finance/src/stores/book/index.ts", "TypeScript", 4, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/book/types.ts", "TypeScript", 18, 0, 0, 1, 2, 21
"/Users/peaker/dev/solar-finance/src/stores/category/categoryService.ts", "TypeScript", 248, 0, 0, 66, 58, 372
"/Users/peaker/dev/solar-finance/src/stores/category/categoryStore.ts", "TypeScript", 133, 0, 0, 16, 44, 193
"/Users/peaker/dev/solar-finance/src/stores/category/defaultCategories.ts", "TypeScript", 255, 0, 0, 10, 9, 274
"/Users/peaker/dev/solar-finance/src/stores/category/index.ts", "TypeScript", 12, 0, 0, 6, 6, 24
"/Users/peaker/dev/solar-finance/src/stores/category/types.ts", "TypeScript", 23, 0, 0, 6, 3, 32
"/Users/peaker/dev/solar-finance/src/stores/common/types.ts", "TypeScript", 9, 0, 0, 1, 1, 11
"/Users/peaker/dev/solar-finance/src/stores/currency/currencyService.ts", "TypeScript", 102, 0, 0, 24, 26, 152
