"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BooksFilter.vue", "Vue", 3, 0, 0, 0, 3
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionItem.vue", "Vue", 28, 0, -1, 5, 32
"/Users/peaker/dev/solar-finance/src/composables/ui/useTruncateText.ts", "TypeScript", 0, 65, 49, 16, 130
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFinanceSummary.vue", "Vue", 6, 0, 2, 3, 11
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookPercentageSlider.vue", "Vue", 44, 0, 2, 6, 52
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionItem.vue", "Vue", 11, 0, 0, 2, 13
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookSelect.ts", "TypeScript", 0, 33, 6, 3, 42
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/usePercentageSlider.ts", "TypeScript", 0, 75, 17, 26, 118
"Total", "-", 92, 173, 75, 61, 401
