"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/App.vue", "Vue", 2, 0, 0, -3, -1
"/Users/peaker/dev/solar-finance/src/components/atoms/alerts/BaseAlert.vue", "Vue", 223, 0, 1, 26, 250
"/Users/peaker/dev/solar-finance/src/components/molecules/lists/BaseList.vue", "Vue", -2, 0, 0, 0, -2
"/Users/peaker/dev/solar-finance/src/components/organisms/alerts/AlertContainer.vue", "Vue", 68, 0, 1, 11, 80
"/Users/peaker/dev/solar-finance/src/components/organisms/popups/BaseFloatingPopup.vue", "Vue", -1, 0, 0, 0, -1
"/Users/peaker/dev/solar-finance/src/components/providers/AlertProvider.vue", "Vue", 6, 0, 1, 1, 8
"/Users/peaker/dev/solar-finance/src/composables/useSwipe.ts", "TypeScript", 0, 100, 46, 19, 165
"/Users/peaker/dev/solar-finance/src/stores/alert/alertService.ts", "TypeScript", 0, 77, 9, 15, 101
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationDebtItem.vue", "Vue", 128, 0, 0, 16, 144
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationItem.vue", "Vue", 164, 0, 0, 22, 186
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationList.vue", "Vue", 5, 0, 0, 1, 6
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationPopup.vue", "Vue", 27, 0, 0, 5, 32
"Total", "-", 620, 177, 58, 113, 968
