"filename", "language", "SCSS", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionGroup.vue", "Vue", 0, -2, 0, 3, 1
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionItem.vue", "Vue", 0, 58, 3, 5, 66
"/Users/peaker/dev/solar-finance/src/styles/main.scss", "SCSS", 5, 0, 1, 1, 7
"Total", "-", 5, 56, 4, 9, 74
