"filename", "language", "TypeScript", "Vue", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/App.vue", "Vue", 0, 35, 0, 0, 0, 1, 36
"/Users/peaker/dev/solar-finance/src/about/Description.md", "Markdown", 0, 0, 0, 58, 0, 28, 86
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/BaseStores.md", "Markdown", 0, 0, 0, 169, 0, 52, 221
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/BookView.md", "Markdown", 0, 0, 0, 77, 0, 47, 124
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/MainPlan.md", "Markdown", 0, 0, 0, 468, 0, 151, 619
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/Mock.md", "Markdown", 0, 0, 0, 1306, 0, 68, 1374
"/Users/peaker/dev/solar-finance/src/about/main.md", "Markdown", 0, 0, 0, 653, 0, 121, 774
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryAddPopup.vue", "Vue", 0, 359, 0, 0, 9, 45, 413
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryEditPopup.vue", "Vue", 0, 444, 0, 0, 10, 60, 514
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryFilterToggle.vue", "Vue", 0, 59, 0, 0, 1, 10, 70
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryIcon.vue", "Vue", 0, 83, 0, 0, 1, 14, 98
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryItem.vue", "Vue", 0, 109, 0, 0, 1, 16, 126
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryListGrouped.vue", "Vue", 0, 96, 0, 0, 3, 15, 114
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryListPopup.vue", "Vue", 0, 400, 0, 0, 13, 68, 481
"/Users/peaker/dev/solar-finance/src/components/categories/CategorySelector.vue", "Vue", 0, 329, 0, 0, 7, 52, 388
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryViewPopup.vue", "Vue", 0, 426, 0, 0, 12, 77, 515
"/Users/peaker/dev/solar-finance/src/components/categories/view/CategoryDateFilters.vue", "Vue", 0, 85, 0, 0, 2, 13, 100
"/Users/peaker/dev/solar-finance/src/components/categories/view/CategoryTransactionsList.vue", "Vue", 0, 150, 0, 0, 3, 18, 171
"/Users/peaker/dev/solar-finance/src/components/navigation/NavMenu.vue", "Vue", 0, 118, 0, 0, 1, 7, 126
"/Users/peaker/dev/solar-finance/src/components/system/MessageProvider.vue", "Vue", 0, 11, 0, 0, 0, 3, 14
"/Users/peaker/dev/solar-finance/src/components/transactions/AccountSelector.vue", "Vue", 0, 294, 0, 0, 10, 37, 341
"/Users/peaker/dev/solar-finance/src/components/transactions/AmountSection.vue", "Vue", 0, 190, 0, 0, 5, 24, 219
"/Users/peaker/dev/solar-finance/src/components/transactions/BookSelector.vue", "Vue", 0, 135, 0, 0, 1, 19, 155
"/Users/peaker/dev/solar-finance/src/components/transactions/NumberKeypad.vue", "Vue", 0, 147, 0, 0, 1, 17, 165
"/Users/peaker/dev/solar-finance/src/components/transactions/PercentageSlider.vue", "Vue", 0, 57, 0, 0, 3, 8, 68
"/Users/peaker/dev/solar-finance/src/components/transactions/TransactionTypeSelector.vue", "Vue", 0, 82, 0, 0, 1, 11, 94
"/Users/peaker/dev/solar-finance/src/components/transactions/ViewTransaction/TransactionDateGroup.vue", "Vue", 0, 46, 0, 0, 1, 7, 54
"/Users/peaker/dev/solar-finance/src/components/transactions/ViewTransaction/TransactionItem.vue", "Vue", 0, 88, 0, 0, 1, 6, 95
"/Users/peaker/dev/solar-finance/src/components/ui/BasePopup.vue", "Vue", 0, 206, 0, 0, 7, 25, 238
"/Users/peaker/dev/solar-finance/src/components/ui/CreateCategoryButton.vue", "Vue", 0, 54, 0, 0, 1, 7, 62
"/Users/peaker/dev/solar-finance/src/components/ui/buttons/CreateActionButton.vue", "Vue", 0, 53, 0, 0, 1, 6, 60
"/Users/peaker/dev/solar-finance/src/components/ui/filters/DateFilter.vue", "Vue", 0, 503, 0, 0, 14, 73, 590
