"filename", "language", "TypeScript", "Vue", "SCSS", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/navigation/NavMenu.vue", "Vue", 0, 22, 0, 0, 3, 25
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseAddIcon.vue", "Vue", 0, 90, 0, 1, 13, 104
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 15, 0, 0, 1, 0, 16
"/Users/peaker/dev/solar-finance/src/styles/themes/_variables.scss", "SCSS", 0, 0, 1, 0, 0, 1
"/Users/peaker/dev/solar-finance/src/views/book/page/BooksView.vue", "Vue", 0, 73, 0, 6, 12, 91
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BaseAddIcon.vue", "Vue", 0, 89, 0, 1, 12, 102
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFinanceSummary.vue", "Vue", 0, 170, 0, 7, 31, 208
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookSelector.vue", "Vue", 0, 117, 0, 1, 22, 140
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionGroup.vue", "Vue", 0, 50, 0, 1, 8, 59
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionItem.vue", "Vue", 0, 97, 0, 1, 14, 112
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionsList.vue", "Vue", 0, 144, 0, 1, 28, 173
"/Users/peaker/dev/solar-finance/src/views/book/page/components/DashBoardBook.vue", "Vue", 0, 64, 0, 3, 8, 75
"/Users/peaker/dev/solar-finance/src/views/book/popup/NewBookPopup.vue", "Vue", 0, 30, 0, 1, 5, 36
"Total", "-", 15, 946, 1, 24, 156, 1142
