"filename", "language", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/organisms/popups/BaseFloatingPopup.vue", "Vue", 29, 0, 4, 33
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationDebtItem.vue", "Vue", -6, 0, 0, -6
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationItem.vue", "Vue", -6, 1, -1, -6
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationPopup.vue", "Vue", 27, 0, 5, 32
"Total", "-", 44, 1, 8, 53
