"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/SharePicker.vue", "Vue", 0, 163, 1, 27, 191
"/Users/peaker/dev/solar-finance/src/stores/account/accountStore.ts", "TypeScript", 48, 0, 23, 15, 86
"/Users/peaker/dev/solar-finance/src/stores/account/defaultAccounts.ts", "TypeScript", 7, 0, 0, 0, 7
"/Users/peaker/dev/solar-finance/src/stores/account/types.ts", "TypeScript", 3, 0, 2, 3, 8
"/Users/peaker/dev/solar-finance/src/stores/user/userService.ts", "TypeScript", 30, 0, 9, 3, 42
"/Users/peaker/dev/solar-finance/src/stores/user/userStore.ts", "TypeScript", 30, 0, 10, -1, 39
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountAddPopup.vue", "Vue", 0, 49, 0, 9, 58
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountSharingPanel.vue", "Vue", 0, 302, 1, 57, 360
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountSharing.ts", "TypeScript", 50, 0, 23, 10, 83
"Total", "-", 168, 514, 69, 123, 874
