"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/views/debug/components/BaseStoresDebugPanel.vue", "Vue", 5, 0, 3, 1, 9
"/Users/peaker/dev/solar-finance/src/views/debug/components/FinanceStoresDebugPanel.vue", "Vue", 1, 0, 4, 1, 6
"/Users/peaker/dev/solar-finance/src/views/debug/components/JsonViewerComponent.vue", "Vue", 353, 0, 1, 52, 406
"/Users/peaker/dev/solar-finance/src/views/debug/components/SystemStoresDebugPanel.vue", "Vue", 41, 0, 3, 5, 49
"/Users/peaker/dev/solar-finance/src/views/person/components/PersonSelectionPopup.vue", "Vue", 26, 0, 2, 5, 33
"/Users/peaker/dev/solar-finance/src/views/transaction/TransactionView.vue", "Vue", 3, 0, 0, 0, 3
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useDistribution.ts", "TypeScript", 0, 2, 6, 1, 9
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useRegularTransaction.ts", "TypeScript", 0, 7, 2, 0, 9
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useTransactionManager.ts", "TypeScript", 0, 2, 0, 0, 2
"Total", "-", 429, 11, 21, 65, 526
