"filename", "language", "Vue", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/BookView.md", "Markdown", 0, 0, 16, 0, 15, 31
"/Users/peaker/dev/solar-finance/src/views/book/page/BooksView.vue", "Vue", -2, 0, 0, 0, 1, -1
"/Users/peaker/dev/solar-finance/src/views/book/page/Old/useBookData.ts", "TypeScript", 0, 265, 0, 53, 54, 372
"/Users/peaker/dev/solar-finance/src/views/book/page/Old/useFormatting.ts", "TypeScript", 0, 112, 0, 21, 23, 156
"/Users/peaker/dev/solar-finance/src/views/book/page/Old/useOwnerDistribution.ts", "TypeScript", 0, 181, 0, 45, 38, 264
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFinanceSummary.vue", "Vue", -11, 0, 0, -1, -4, -16
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookSelector.vue", "Vue", -55, 0, 0, 0, -12, -67
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionsList.vue", "Vue", -77, 0, 0, 0, -15, -92
"/Users/peaker/dev/solar-finance/src/views/book/page/components/DashBoardBook.vue", "Vue", -60, 0, 0, -3, -11, -74
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookContext.ts", "TypeScript", 0, 181, 0, 33, 41, 255
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookData.ts", "TypeScript", 0, -265, 0, -53, -54, -372
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookFinanceSummary.ts", "TypeScript", 0, 17, 0, -4, 5, 18
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookSelect.ts", "TypeScript", 0, 45, 0, 7, 13, 65
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookTransactions.ts", "TypeScript", 0, 48, 0, 8, 13, 69
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useFormatting.ts", "TypeScript", 0, -112, 0, -21, -23, -156
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useOwnerDistribution.ts", "TypeScript", 0, -181, 0, -45, -38, -264
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/usePercentageSlider.ts", "TypeScript", 0, 102, 0, 17, 27, 146
"Total", "-", -205, 393, 16, 57, 73, 334
