"filename", "language", "TypeScript", "Vue", "SCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/organisms/popups/BaseFloatingPopup.vue", "Vue", 0, 185, 0, 0, 0, 1, 23, 209
"/Users/peaker/dev/solar-finance/src/components/providers/AlertProvider.vue", "Vue", 0, 6, 0, 0, 0, 1, 1, 8
"/Users/peaker/dev/solar-finance/src/components/system/MessageProvider.vue", "Vue", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/peaker/dev/solar-finance/src/components/ui/BasePopup.vue", "Vue", 0, 206, 0, 0, 0, 7, 25, 238
"/Users/peaker/dev/solar-finance/src/components/ui/CreateCategoryButton.vue", "Vue", 0, 54, 0, 0, 0, 1, 7, 62
"/Users/peaker/dev/solar-finance/src/components/ui/buttons/CreateActionButton.vue", "Vue", 0, 53, 0, 0, 0, 1, 6, 60
"/Users/peaker/dev/solar-finance/src/components/ui/filters/DateFilter.vue", "Vue", 0, 503, 0, 0, 0, 14, 73, 590
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseAddIcon.vue", "Vue", 0, 90, 0, 0, 0, 1, 13, 104
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseDropdownArrow.vue", "Vue", 0, 37, 0, 0, 0, 1, 1, 39
"/Users/peaker/dev/solar-finance/src/components/ui/icons/BaseIcon.vue", "Vue", 0, 297, 0, 0, 0, 1, 49, 347
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ColorPicker.vue", "Vue", 0, 68, 0, 0, 0, 2, 13, 83
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/IconPicker.vue", "Vue", 0, 66, 0, 0, 0, 1, 9, 76
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ParentCategorySelector.vue", "Vue", 0, 131, 0, 0, 0, 1, 16, 148
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/SharePicker.vue", "Vue", 0, 171, 0, 0, 0, 1, 28, 200
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/TextInput.vue", "Vue", 0, 60, 0, 0, 0, 1, 8, 69
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ToggleButtonGroup.vue", "Vue", 0, 68, 0, 0, 0, 1, 8, 77
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ToggleSwitch.vue", "Vue", 0, 80, 0, 0, 0, 1, 8, 89
"/Users/peaker/dev/solar-finance/src/components/ui/lists/ListItemWithToggle.vue", "Vue", 0, 149, 0, 0, 0, 6, 20, 175
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BaseAccountSelector.vue", "Vue", 0, 244, 0, 0, 0, 11, 21, 276
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BaseTransactionSelector.vue", "Vue", 0, 388, 0, 0, 0, 5, 72, 465
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BookSelector.vue", "Vue", 0, 211, 0, 0, 0, 4, 30, 245
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BooksFilter.vue", "Vue", 0, 241, 0, 0, 0, 3, 40, 284
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/CurrencySelector.vue", "Vue", 0, 69, 0, 0, 0, 1, 11, 81
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/UniversalSelector.vue", "Vue", 0, 144, 0, 0, 0, 3, 15, 162
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseBookHeader.vue", "Vue", 0, 58, 0, 0, 0, 1, 8, 67
"/Users/peaker/dev/solar-finance/src/components/ui/views/BasePercentageSlider.vue", "Vue", 0, 261, 0, 0, 0, 5, 35, 301
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionGroup.vue", "Vue", 0, 187, 0, 0, 0, 4, 28, 219
"/Users/peaker/dev/solar-finance/src/components/ui/views/BaseTransactionItem.vue", "Vue", 0, 487, 0, 0, 0, 10, 62, 559
"/Users/peaker/dev/solar-finance/src/composables/transaction/useFormatBalance.ts", "TypeScript", 126, 0, 0, 0, 0, 42, 25, 193
"/Users/peaker/dev/solar-finance/src/composables/ui/useClickOutside.ts", "TypeScript", 24, 0, 0, 0, 0, 6, 6, 36
"/Users/peaker/dev/solar-finance/src/composables/ui/useDropdown.ts", "TypeScript", 38, 0, 0, 0, 0, 4, 9, 51
"/Users/peaker/dev/solar-finance/src/composables/ui/useGridLayout.ts", "TypeScript", 106, 0, 0, 0, 0, 23, 25, 154
"/Users/peaker/dev/solar-finance/src/composables/ui/useGridLayoutTypes.ts", "TypeScript", 34, 0, 0, 0, 0, 1, 6, 41
"/Users/peaker/dev/solar-finance/src/composables/ui/useTruncateText.ts", "TypeScript", 65, 0, 0, 0, 0, 49, 16, 130
"/Users/peaker/dev/solar-finance/src/composables/useDateFilter.ts", "TypeScript", 382, 0, 0, 0, 0, 69, 83, 534
"/Users/peaker/dev/solar-finance/src/composables/useSwipe.ts", "TypeScript", 100, 0, 0, 0, 0, 46, 19, 165
"/Users/peaker/dev/solar-finance/src/constants/transactionTypes.ts", "TypeScript", 26, 0, 0, 0, 0, 6, 6, 38
"/Users/peaker/dev/solar-finance/src/layouts/ConsoleLayout.vue", "Vue", 0, 70, 0, 0, 0, 3, 9, 82
"/Users/peaker/dev/solar-finance/src/layouts/EmptyLayout.vue", "Vue", 0, 15, 0, 0, 0, 0, 2, 17
"/Users/peaker/dev/solar-finance/src/layouts/IosLayout.vue", "Vue", 0, 158, 0, 0, 0, 1, 23, 182
"/Users/peaker/dev/solar-finance/src/main.ts", "TypeScript", 30, 0, 0, 0, 0, 9, 9, 48
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 177, 0, 0, 0, 0, 17, 10, 204
"/Users/peaker/dev/solar-finance/src/services/BaseCrudService.ts", "TypeScript", 54, 0, 0, 0, 0, 22, 11, 87
"/Users/peaker/dev/solar-finance/src/services/api/ApiService.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 4, 11
"/Users/peaker/dev/solar-finance/src/services/api/LocalStorageApiService.ts", "TypeScript", 76, 0, 0, 0, 0, 30, 32, 138
"/Users/peaker/dev/solar-finance/src/services/system/AppInitService.ts", "TypeScript", 50, 0, 0, 0, 0, 21, 12, 83
"/Users/peaker/dev/solar-finance/src/services/system/MessageService.ts", "TypeScript", 54, 0, 0, 0, 0, 33, 11, 98
"/Users/peaker/dev/solar-finance/src/stores/account/accountService.ts", "TypeScript", 90, 0, 0, 0, 0, 27, 13, 130
"/Users/peaker/dev/solar-finance/src/stores/account/accountStore.ts", "TypeScript", 412, 0, 0, 0, 0, 126, 101, 639
"/Users/peaker/dev/solar-finance/src/stores/account/defaultAccounts.ts", "TypeScript", 117, 0, 0, 0, 0, 6, 0, 123
"/Users/peaker/dev/solar-finance/src/stores/account/index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/account/types.ts", "TypeScript", 20, 0, 0, 0, 0, 3, 4, 27
"/Users/peaker/dev/solar-finance/src/stores/alert/alertService.ts", "TypeScript", 77, 0, 0, 0, 0, 9, 15, 101
"/Users/peaker/dev/solar-finance/src/stores/book/bookService.ts", "TypeScript", 77, 0, 0, 0, 0, 24, 12, 113
"/Users/peaker/dev/solar-finance/src/stores/book/bookStore.ts", "TypeScript", 129, 0, 0, 0, 0, 32, 26, 187
"/Users/peaker/dev/solar-finance/src/stores/book/defaultBooks.ts", "TypeScript", 43, 0, 0, 0, 0, 5, 1, 49
"/Users/peaker/dev/solar-finance/src/stores/book/index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/book/types.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 2, 22
"/Users/peaker/dev/solar-finance/src/stores/category/categoryService.ts", "TypeScript", 248, 0, 0, 0, 0, 66, 58, 372
