"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/categories/CategorySelector.vue", "Vue", 57, 0, 2, 16, 75
"/Users/peaker/dev/solar-finance/src/components/transactions/AccountSelector.vue", "Vue", 65, 0, 6, 7, 78
"/Users/peaker/dev/solar-finance/src/components/ui/CreateCategoryButton.vue", "Vue", 10, 0, 0, 1, 11
"/Users/peaker/dev/solar-finance/src/components/ui/buttons/CreateActionButton.vue", "Vue", 53, 0, 1, 6, 60
"/Users/peaker/dev/solar-finance/src/components/ui/icons/AccountIcon.vue", "Vue", 107, 0, 3, 14, 124
"/Users/peaker/dev/solar-finance/src/components/ui/lists/ListItemWithToggle.vue", "Vue", 139, 0, 6, 19, 164
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BookSelector.vue", "Vue", 91, 0, 1, 14, 106
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/UniversalSelector.vue", "Vue", 130, 0, 3, 14, 147
"/Users/peaker/dev/solar-finance/src/composables/transaction/index.ts", "TypeScript", 0, -6, -2, -1, -9
"/Users/peaker/dev/solar-finance/src/composables/transaction/useAccount.ts", "TypeScript", 0, -132, -37, -27, -196
"/Users/peaker/dev/solar-finance/src/composables/transaction/useCategory.ts", "TypeScript", 0, -74, -22, -17, -113
"/Users/peaker/dev/solar-finance/src/composables/transaction/useCurrency.ts", "TypeScript", 0, -148, -48, -34, -230
"/Users/peaker/dev/solar-finance/src/composables/transaction/useDistribution.ts", "TypeScript", 0, -53, -17, -11, -81
"/Users/peaker/dev/solar-finance/src/composables/transaction/useFormatBalance.ts", "TypeScript", 0, 80, 28, 20, 128
"/Users/peaker/dev/solar-finance/src/composables/transaction/useKeypad.ts", "TypeScript", 0, -38, -22, -7, -67
"/Users/peaker/dev/solar-finance/src/composables/transaction/useTransaction.ts", "TypeScript", 0, -139, -27, -27, -193
"/Users/peaker/dev/solar-finance/src/stores/account/defaultAccounts.ts", "TypeScript", 0, 2, 0, 0, 2
"/Users/peaker/dev/solar-finance/src/views/AccountsView.vue", "Vue", 162, 0, 3, 21, 186
"/Users/peaker/dev/solar-finance/src/views/TransactionView.vue", "Vue", -528, 0, -7, -80, -615
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountSelectorPopup.vue", "Vue", 468, 0, 13, 77, 558
"/Users/peaker/dev/solar-finance/src/views/account/popup/BookAccountsPopup.vue", "Vue", 280, 0, 4, 53, 337
"/Users/peaker/dev/solar-finance/src/views/transaction/TransactionView.vue", "Vue", 535, 0, 7, 80, 622
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/index.ts", "TypeScript", 0, 6, 2, 1, 9
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useAccount.ts", "TypeScript", 0, 132, 37, 27, 196
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useCategory.ts", "TypeScript", 0, 74, 22, 17, 113
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useCurrency.ts", "TypeScript", 0, 148, 48, 34, 230
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useDistribution.ts", "TypeScript", 0, 53, 17, 11, 81
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useKeypad.ts", "TypeScript", 0, 38, 22, 7, 67
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useTransaction.ts", "TypeScript", 0, 139, 27, 27, 193
"Total", "-", 1569, 82, 70, 262, 1983
