"filename", "language", "Vue", "SCSS", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/ui/BasePopup.vue", "Vue", 12, 0, 0, 1, 16, 29
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ColorPicker.vue", "Vue", 0, 0, 0, 1, 0, 1
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/SharePicker.vue", "Vue", 5, 0, 0, 0, 0, 5
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BookSelector.vue", "Vue", 171, 0, 0, 3, 26, 200
"/Users/peaker/dev/solar-finance/src/composables/ui/useClickOutside.ts", "TypeScript", 0, 0, 4, 5, 2, 11
"/Users/peaker/dev/solar-finance/src/composables/ui/useDropdown.ts", "TypeScript", 0, 0, 13, 2, 3, 18
"/Users/peaker/dev/solar-finance/src/styles/components/_forms.scss", "SCSS", 0, 13, 0, 3, 3, 19
"/Users/peaker/dev/solar-finance/src/styles/main.scss", "SCSS", 0, 20, 0, 2, 4, 26
"/Users/peaker/dev/solar-finance/src/styles/themes/_colors.scss", "SCSS", 0, 28, 0, 2, 8, 38
"/Users/peaker/dev/solar-finance/src/styles/themes/_variables.scss", "SCSS", 0, 7, 0, 2, 3, 12
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountAddPopup.vue", "Vue", 35, 0, 0, 1, 7, 43
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountSharingPanel.vue", "Vue", -302, 0, 0, -1, -57, -360
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountSharingPicker.vue", "Vue", 186, 0, 0, 1, 30, 217
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountTypeSelector.vue", "Vue", 21, 0, 0, 0, 4, 25
"Total", "-", 128, 68, 17, 22, 49, 284
