"filename", "language", "Vue", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/molecules/groups/readme.md", "Markdown", 0, 0, 1, 0, 0, 1
"/Users/peaker/dev/solar-finance/src/views/debt/DebtDetailsView.vue", "Vue", 6, 0, 0, 0, 1, 7
"/Users/peaker/dev/solar-finance/src/views/debt/DebtView.vue", "Vue", -8, 0, 0, 0, -3, -11
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtGroup.vue", "Vue", 112, 0, 0, 2, 15, 129
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtItem.vue", "Vue", 111, 0, 0, 3, 22, 136
"/Users/peaker/dev/solar-finance/src/views/debt/composables/useDebts.ts", "TypeScript", 0, -6, 0, -1, -1, -8
"Total", "-", 221, -6, 1, 4, 34, 254
