"filename", "language", "TypeScript", "Vue", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/App.vue", "Vue", 0, 89, 0, 0, 10, 99
"/Users/peaker/dev/solar-finance/src/about/Description.md", "Markdown", 0, 0, 58, 0, 28, 86
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/MainPlan.md", "Markdown", 0, 0, 468, 0, 151, 619
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/Mock.md", "Markdown", 0, 0, 1306, 0, 68, 1374
"/Users/peaker/dev/solar-finance/src/about/main.md", "Markdown", 0, 0, 585, 0, 121, 706
"/Users/peaker/dev/solar-finance/src/components/NavigationMenu.vue", "Vue", 0, 58, 0, 1, 7, 66
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryFilterToggle.vue", "Vue", 0, 59, 0, 1, 10, 70
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryIcon.vue", "Vue", 0, 112, 0, 1, 12, 125
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryItem.vue", "Vue", 0, 113, 0, 1, 18, 132
"/Users/peaker/dev/solar-finance/src/components/categories/CategoryListPopup.vue", "Vue", 0, 218, 0, 6, 35, 259
"/Users/peaker/dev/solar-finance/src/components/categories/CategorySelector.vue", "Vue", 0, 171, 0, 3, 20, 194
"/Users/peaker/dev/solar-finance/src/components/navigation/NavMenu.vue", "Vue", 0, 88, 0, 1, 9, 98
"/Users/peaker/dev/solar-finance/src/components/transactions/AccountSelector.vue", "Vue", 0, 218, 0, 4, 29, 251
"/Users/peaker/dev/solar-finance/src/components/transactions/BookSelector.vue", "Vue", 0, 89, 0, 0, 9, 98
"/Users/peaker/dev/solar-finance/src/components/transactions/NumberKeypad.vue", "Vue", 0, 123, 0, 2, 12, 137
"/Users/peaker/dev/solar-finance/src/components/transactions/PercentageSlider.vue", "Vue", 0, 152, 0, 1, 21, 174
"/Users/peaker/dev/solar-finance/src/components/transactions/TransactionTypeSelector.vue", "Vue", 0, 69, 0, 1, 9, 79
"/Users/peaker/dev/solar-finance/src/components/ui/BasePopup.vue", "Vue", 0, 146, 0, 1, 20, 167
"/Users/peaker/dev/solar-finance/src/components/ui/CreateCategoryButton.vue", "Vue", 0, 44, 0, 1, 6, 51
"/Users/peaker/dev/solar-finance/src/data/UserData.ts", "TypeScript", 30, 0, 0, 4, 3, 37
"/Users/peaker/dev/solar-finance/src/data/categories.ts", "TypeScript", 155, 0, 0, 11, 15, 181
"/Users/peaker/dev/solar-finance/src/layouts/ConsoleLayout.vue", "Vue", 0, 281, 0, 10, 38, 329
"/Users/peaker/dev/solar-finance/src/layouts/EmptyLayout.vue", "Vue", 0, 15, 0, 0, 2, 17
"/Users/peaker/dev/solar-finance/src/layouts/IosLayout.vue", "Vue", 0, 63, 0, 1, 10, 74
"/Users/peaker/dev/solar-finance/src/main.ts", "TypeScript", 18, 0, 0, 7, 6, 31
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 94, 0, 0, 13, 9, 116
"/Users/peaker/dev/solar-finance/src/services/BaseCrudService.ts", "TypeScript", 54, 0, 0, 22, 11, 87
"/Users/peaker/dev/solar-finance/src/services/api/ApiService.ts", "TypeScript", 6, 0, 0, 1, 4, 11
"/Users/peaker/dev/solar-finance/src/services/api/LocalStorageApiService.ts", "TypeScript", 76, 0, 0, 30, 32, 138
"/Users/peaker/dev/solar-finance/src/services/finance/FinanceService.ts", "TypeScript", 158, 0, 0, 64, 38, 260
"/Users/peaker/dev/solar-finance/src/services/transaction/TransactionService.ts", "TypeScript", 191, 0, 0, 53, 31, 275
"/Users/peaker/dev/solar-finance/src/stores/theme.ts", "TypeScript", 48, 0, 0, 6, 7, 61
"/Users/peaker/dev/solar-finance/src/stores/user.ts", "TypeScript", 157, 0, 0, 22, 43, 222
"/Users/peaker/dev/solar-finance/src/types/asset.ts", "TypeScript", 23, 0, 0, 10, 4, 37
"/Users/peaker/dev/solar-finance/src/types/base.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/peaker/dev/solar-finance/src/types/crypto.ts", "TypeScript", 11, 0, 0, 0, 4, 15
"/Users/peaker/dev/solar-finance/src/types/finance.ts", "TypeScript", 23, 0, 0, 9, 4, 36
"/Users/peaker/dev/solar-finance/src/types/index.ts", "TypeScript", 9, 0, 0, 0, 0, 9
"/Users/peaker/dev/solar-finance/src/types/investment.ts", "TypeScript", 26, 0, 0, 9, 3, 38
"/Users/peaker/dev/solar-finance/src/types/liability.ts", "TypeScript", 25, 0, 0, 9, 4, 38
"/Users/peaker/dev/solar-finance/src/types/loan.ts", "TypeScript", 31, 0, 0, 10, 4, 45
"/Users/peaker/dev/solar-finance/src/types/transaction.ts", "TypeScript", 42, 0, 0, 13, 4, 59
"/Users/peaker/dev/solar-finance/src/types/user.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"/Users/peaker/dev/solar-finance/src/views/AccountsView.vue", "Vue", 0, 22, 0, 1, 3, 26
"/Users/peaker/dev/solar-finance/src/views/DashboardView.vue", "Vue", 0, 221, 0, 4, 19, 244
"/Users/peaker/dev/solar-finance/src/views/NotFoundView.vue", "Vue", 0, 32, 0, 1, 4, 37
"/Users/peaker/dev/solar-finance/src/views/PinLoginView.vue", "Vue", 0, 232, 0, 5, 39, 276
"/Users/peaker/dev/solar-finance/src/views/TransactionView.vue", "Vue", 0, 273, 0, 5, 39, 317
"Total", "-", 1190, 2888, 2417, 344, 976, 7815
